,v1,gene_symbol,v3,group,subgroup,pathway_or_family,full_name,gene_name_synonym(s),type,reaction_EC,Vitisnet_Network1,Vitisnet_Network2
32809,VIT_15s0024g00290,,,,,,Retrovirus Pol polyprotein,,,,,
32810,VIT_15s0024g00300,,,,,,LTR retrotransposon,,,,,
32811,VIT_15s0024g00310,,,,,,No hit,,,,,
32812,VIT_15s0024g00320,,,,,,No hit,,,,,
32813,VIT_15s0024g00330,,,,,,Transposon,,,,,
32814,VIT_15s0024g00340,,,,,,No hit,,,,,
32815,VIT_15s0024g00360,,,,,,No hit,,,,,
32816,VIT_15s0024g00380,,,,,,No hit,,,,,
32817,VIT_15s0024g00430,,,,,,No hit,,,,,
32818,VIT_15s0024g00460,,,,,,No hit,,,,,
32819,VIT_15s0024g00520,,,,,,Transposon,,,,,
32820,VIT_15s0024g00530,,,,,,Transposon,,,,,
32821,VIT_15s0024g00540,,,,,,Disease resistance protein RGA3,,,,,
32822,VIT_15s0024g00560,,,,,,Mutator-like transposase,,,,,
32823,VIT_15s0024g00570,,,,,,Transposon,,,,,
32824,VIT_15s0024g00590,,,,,,Retrovirus Pol polyprotein,,,,,
32825,VIT_15s0024g00610,,,,,,Retroelement,,,,,
32826,VIT_15s0024g00750,,,,,,No hit,,,,,
32827,VIT_15s0024g00810,,,,,,Retrovirus Pol polyprotein,,,,,
32828,VIT_15s0024g00870,,,,,,Unknown,,,,,
32829,VIT_15s0024g00880,,,,,,No hit,,,,,
32830,VIT_15s0024g00920,,,,,,NFD4 (nuclear fusion defective 4),,,,,
32831,VIT_15s0024g00950,,,,,,Transposase AC,,,,,
32832,VIT_15s0024g00970,,,,,,Retrovirus Pol polyprotein,,,,,
32833,VIT_15s0024g01000,,,,,,Retrovirus Pol polyprotein,,,,,
32834,VIT_15s0024g01130,,,,,,No hit,,,,,
32835,VIT_15s0024g01140,,,,,,Retrovirus Pol polyprotein,,,,,
32836,VIT_15s0024g01290,,,,,,No hit,,,,,
32837,VIT_15s0024g01350,,,,,,Copia protein,,,,,
32838,VIT_15s0024g01370,,,,,,Copia protein,,,,,
32839,VIT_15s0024g01390,,,,,,Transposon  CACTA,,,,,
32840,VIT_15s0024g01400,,,,,,Retrovirus Pol polyprotein,,,,,
32841,VIT_15s0024g01430,,,,,,No hit,,,,,
32842,VIT_15s0024g01480,,,,,,Retrovirus Pol polyprotein,,,,,
32843,VIT_15s0024g01560,,,,,,Retroelement,,,,,
32844,VIT_15s0024g01570,,,,,,No hit,,,,,
32845,VIT_15s0024g01610,,,,,,Transposon,,,,,
32846,VIT_15s0024g01640,,,,,,No hit,,,,,
32847,VIT_15s0024g01650,,,,,,Glutathione S-transferase 8 GSTU8,,,E2_5_1_18_GSTU8,vv10480Glutathione_metabolism,
32848,VIT_15s0024g01660,,,,,,Retrovirus Pol polyprotein,,,,,
32849,VIT_15s0024g01690,,,,,,No hit,,,,,
32850,VIT_15s0024g01730,,,,,,Transposon,,,,,
32851,VIT_15s0024g01740,,,,,,Retrovirus Pol polyprotein,,,,,
32852,VIT_15s0024g01780,,,,,,Retrovirus Pol polyprotein,,,,,
32853,VIT_15s0024g01840,,,,,,Transposon,,,,,
32854,VIT_15s0024g01870,,,,,,Copia protein,,,,,
32855,VIT_15s0024g01880,,,,,,Transposon,,,,,
32856,VIT_15s0024g01890,,,,,,No hit,,,,,
32857,VIT_15s0024g01900,,,,,,No hit,,,,,
32858,VIT_15s0024g01920,,,,,,PIF-like transposase,,,,,
32859,VIT_15s0024g01970,,,,,,Transposon,,,,,
32860,VIT_15s0045g00080,,,,,,No hit,,,,,
32861,VIT_15s0045g00190,,,,,,NADP dependent malic enzyme,,,E1_1_1_40,vv10620Pyruvate_metabolism,vv10710Carbon_fixation
32862,VIT_15s0045g00210,,,,,,Transposon  CACTA,,,,,
32863,VIT_15s0045g00280,,,,,,Transposon,,,,,
32864,VIT_15s0045g00400,,,,,,Retrovirus Pol polyprotein,,,,,
32865,VIT_15s0045g00410,,,,,,Gypsy retrotransposon integrase,,,,,
32866,VIT_15s0045g00430,,,,,,No hit,,,,,
32867,VIT_15s0045g00510,,,,,,No hit,,,,,
32868,VIT_15s0045g00560,,,,,,Retrovirus Pol polyprotein,,,,,
32869,VIT_15s0045g00570,,,,,,Transposon,,,,,
32870,VIT_15s0045g00580,,,,,,Reverse transcriptase,,,,,
32871,VIT_15s0045g00590,,,,,,Copia protein,,,,,
32872,VIT_15s0045g00600,,,,,,Copia protein,,,,,
32873,VIT_15s0045g00610,,,,,,Retrovirus Pol polyprotein,,,,,
32874,VIT_15s0045g00620,,,,,,Unknown protein,,,,,
32875,VIT_15s0045g00660,,,,,,No hit,,,,,
32876,VIT_15s0045g00700,,,,,,Retrovirus Pol polyprotein,,,,,
32877,VIT_15s0045g00720,,,,,,Transposon,,,,,
32878,VIT_15s0045g00740,,,,,,Transposon,,,,,
32879,VIT_15s0045g00790,,,,,,Retrovirus Pol polyprotein,,,,,
32880,VIT_15s0045g00820,,,,,,Retrovirus Pol polyprotein,,,,,
32881,VIT_15s0045g00840,,,,,,No hit,,,,,
32882,VIT_15s0045g00850,,,,,,Retroelement,,,,,
32883,VIT_15s0045g00860,,,,,,No hit,,,,,
32884,VIT_15s0045g00870,,,,,,Serine/threonine-protein kinase,,,,,
32885,VIT_15s0045g00890,,,,,,Transposon,,,,,
32886,VIT_15s0045g00900,,,,,,Retrovirus Pol polyprotein,,,,,
32887,VIT_15s0045g00910,,,,,,Retroelement,,,,,
32888,VIT_15s0045g00960,,,,,,Retrovirus Pol polyprotein,,,,,
32889,VIT_15s0045g00970,,,,,,Transposon,,,,,
32890,VIT_15s0045g00990,,,,,,Retrovirus Pol polyprotein,,,,,
32891,VIT_15s0045g01000,,,,,,Retrovirus Pol polyprotein,,,,,
32892,VIT_15s0045g01020,,,,,,R protein  PRF  disease resistance protein,,,K13453,vv34627R_proteins_from_Plant-pathogen_interaction,
32893,VIT_15s0045g01050,,,,,,Retrovirus Pol polyprotein,,,,,
32894,VIT_15s0045g01070,,,,,,No hit,,,,,
32895,VIT_15s0045g01080,,,,,,No hit,,,,,
32896,VIT_15s0045g01100,,,,,,Transposon  CACTA,,,,,
32897,VIT_15s0045g01180,,,,,,Retrovirus Pol polyprotein,,,,,
32898,VIT_15s0045g01190,,,,,,Retrotransposon protein; Unclassified,,,,,
32899,VIT_15s0045g01240,,,,,,No hit,,,,,
32900,VIT_15s0045g01300,,,,,,No hit,,,,,
32901,VIT_15s0045g01350,,,,,,Retrovirus Pol polyprotein,,,,,
32902,VIT_15s0045g01400,,,,,,Retrovirus Pol polyprotein,,,,,
32903,VIT_15s0045g01410,,,,,,Retrovirus Pol polyprotein,,,,,
32904,VIT_15s0045g01420,,,,,,Transposon,,,,,
32905,VIT_15s0045g01450,,,,,,No hit,,,,,
32906,VIT_15s0045g01470,,,,,,No hit,,,,,
32907,VIT_15s0045g01530,,,,,,Retrotransposable element Tf2,,,,,
32908,VIT_15s0045g01540,,,,,,No hit,,,,,
32909,VIT_15s0045g01550,,,,,,No hit,,,,,
32910,VIT_15s0045g01560,,,,,,Transposon,,,,,
32911,VIT_15s0045g01570,,,,,,Transposon,,,,,
32912,VIT_15s0045g01580,,,,,,No hit,,,,,
32913,VIT_15s0046g00060,,,,,,Arginine/serine-rich splicing factor RSP31 (RSP31),,,,,
32914,VIT_15s0046g00530,,,,,,Retrovirus Pol polyprotein,,,,,
32915,VIT_15s0046g00540,,,,,,Retrovirus Pol polyprotein,,,,,
32916,VIT_15s0046g00560,,,,,,Retroelement,,,,,
32917,VIT_15s0046g00610,,,,,,No hit,,,,,
32918,VIT_15s0046g00670,,,,,,No hit,,,,,
32919,VIT_15s0046g00690,,,,,,Retrovirus Pol polyprotein,,,,,
32920,VIT_15s0046g00770,,,,,,Retrovirus Pol polyprotein,,,,,
32921,VIT_15s0046g00880,,,,,,Retrovirus Pol polyprotein,,,,,
32922,VIT_15s0046g01240,,,,,,Transposon,,,,,
32923,VIT_15s0046g01250,,,,,,No hit,,,,,
32924,VIT_15s0046g01260,,,,,,No hit,,,,,
32925,VIT_15s0046g01490,,,,,,No hit,,,,,
32926,VIT_15s0046g01740,,,,,,Unknown protein,,,,,
32927,VIT_15s0046g01910,,,,,,Retrovirus Pol polyprotein,,,,,
32928,VIT_15s0046g02310,,,,,,No hit,,,,,
32929,VIT_15s0046g02350,,,,,,No hit,,,,,
32930,VIT_15s0046g02670,,,,,,No hit,,,,,
32931,VIT_15s0046g02680,,,,,,No hit,,,,,
32932,VIT_15s0046g02760,,,,,,Reverse transcriptase,,,,,
32933,VIT_15s0046g02970,,,,,,Reverse transcriptase,,,,,
32934,VIT_15s0046g02980,,,,,,Retrovirus Pol polyprotein,,,,,
32935,VIT_15s0046g03170,,,,,,Ribonuclease H,,,,,
32936,VIT_15s0046g03230,,,,,,Disease resistance protein RGA4,,,,,
32937,VIT_15s0046g03260,,,,,,Retrovirus Pol polyprotein,,,,,
32938,VIT_15s0046g03270,,,,,,Retroelement,,,,,
32939,VIT_15s0046g03330,,,,,,No hit,,,,,
32940,VIT_15s0046g03390,,,,,,K+ efflux antiporter (KEA1),,,KEA1,vv50124Porters_cat_30_to_64,
32941,VIT_15s0046g03440,,,,,,No hit,,,,,
32942,VIT_15s0046g03450,,,,,,No hit,,,,,
32943,VIT_15s0046g03460,,,,,,No hit,,,,,
32944,VIT_15s0046g03480,,,,,,No hit,,,,,
32945,VIT_15s0046g03490,,,,,,Pentatricopeptide repeat,,,,,
32946,VIT_15s0046g03560,,,,,,Retrovirus Pol polyprotein,,,,,
32947,VIT_15s0046g03630,,,,,,Unknown protein,,,,,
32948,VIT_15s0046g03690,,,,,,No hit,,,,,
32949,VIT_15s0046g03740,,,,,,Unknown protein,,,,,
32950,VIT_15s0046g03750,,,,,,No hit,,,,,
32951,VIT_15s0046g03770,,,,,,Anaphase-promoting complex component APC11,,,K03358,vv24120Ubiquitin_mediated_proteolysis,vv44110Cell_cycle
32952,VIT_15s0048g00040,,,,,,No hit,,,,,
32953,VIT_15s0048g00060,,,,,,Retrovirus Pol polyprotein,,,,,
32954,VIT_15s0048g00250,,,,,,Retrovirus Pol polyprotein,,,,,
32955,VIT_15s0048g00260,,,,,,Transposon protein Ac/Ds sub-class,,,,,
32956,VIT_15s0048g00410,,,,,,Proton-dependent oligopeptide transport (POT) family protein,,,POT,vv50122Porters_cat_7_to_17,
32957,VIT_15s0048g00450,,,,,,No hit,,,,,
32958,VIT_15s0048g00730,,,,,,forkhead-associated domain-containing protein,,,FHADOM_11,vv60028FHA,
32959,VIT_15s0048g00760,,,,,,Retrovirus Pol polyprotein,,,,,
32960,VIT_15s0048g00820,,,,,,Pentatricopeptide (PPR) repeat-containing protein,,,,,
32961,VIT_15s0048g00930,,,,,,ATP-dependent DNA helicase 2 subunit 2 ku80,,,K10885,vv23450Non_homologous_end_joining,
32962,VIT_15s0048g01020,,,,,,Retrovirus Pol polyprotein,,,,,
32963,VIT_15s0048g01030,,,,,,Retrovirus Pol polyprotein,,,,,
32964,VIT_15s0048g01190,,,,,,Copia protein,,,,,
32965,VIT_15s0048g01290,,,,,,Sin3 associated polypeptide p18,,,K14324,vv23013RNA_transport,vv23015mRNA_surveillance_pathway
32966,VIT_15s0048g01310,,,,,,No hit,,,,,
32967,VIT_15s0048g01360,,,,,,Copia protein,,,,,
32968,VIT_15s0048g01370,,,,,,Retrovirus Pol polyprotein,,,,,
32969,VIT_15s0048g01480,,,,,,Geraniol 10-hydroxylase,,,G10H,vv10902Monoterpenoid_biosynthesis,
32970,VIT_15s0048g01510,,,,,,Retrovirus Pol polyprotein,,,,,
32971,VIT_15s0048g01520,,,,,,Retrovirus Pol polyprotein,,,,,
32972,VIT_15s0048g01560,,,,,,Copia protein,,,,,
32973,VIT_15s0048g01580,,,,,,Retrovirus Pol polyprotein,,,,,
32974,VIT_15s0048g01630,,,,,,No hit,,,,,
32975,VIT_15s0048g01640,,,,,,No hit,,,,,
32976,VIT_15s0048g01970,,,,,,CYP708A1,,,,,
32977,VIT_15s0048g02160,,,,,,Retrovirus Pol polyprotein,,,,,
32978,VIT_15s0048g02170,,,,,,Copia protein,,,,,
32979,VIT_15s0048g02330,,,,,,Transposon,,,,,
32980,VIT_15s0048g02440,,,,,,Reverse transcriptase,,,,,
32981,VIT_15s0048g02470,,,,,,Reverse transcriptase,,,,,
32982,VIT_15s0107g00020,,,,,,Retroelement,,,,,
32983,VIT_15s0107g00100,,,,,,No hit,,,,,
32984,VIT_15s0107g00110,,,,,,Retrovirus Pol polyprotein,,,,,
32985,VIT_15s0107g00140,,,,,,Transposon,,,,,
32986,VIT_15s0107g00250,,,,,,No hit,,,,,
32987,VIT_15s0107g00260,,,,,,No hit,,,,,
32988,VIT_15s0107g00290,,,,,,R protein L6,,,K13477,vv34627R_proteins_from_Plant-pathogen_interaction,
32989,VIT_15s0107g00420,,,,,,LTR retrotransposon,,,,,
32990,VIT_15s0107g00430,,,,,,Retrovirus Pol polyprotein,,,,,
32991,VIT_15s0107g00440,,,,,,Enhanced disease resistance 2 (EDR2),,,,,
32992,VIT_15s0107g00460,,,,,,Reverse transcriptase,,,,,
32993,VIT_15s0107g00470,,,,,,AMP-dependent synthetase and ligase,,,E6_2_1_x,,
32994,VIT_15s0107g00480,,,,,,No hit,,,,,
32995,VIT_15s0107g00490,,,,,,No hit,,,,,
32996,VIT_15s0107g00500,,,,,,AMP-dependent synthetase and ligase,,,E6_2_1_x,,
32997,VIT_15s0107g00510,,,,,,Retrovirus-related Pol polyprotein,,,,,
32998,VIT_15s0107g00530,,,,,,No hit,,,,,
32999,VIT_15s0107g00540,,,,,,Retrovirus Pol polyprotein,,,,,
33000,VIT_16s0013g00020,,,,,,Retrovirus Pol polyprotein,,,,,
33001,VIT_16s0013g00030,,,,,,No hit,,,,,
33002,VIT_16s0013g00100,,,,,,Retroelement,,,,,
33003,VIT_16s0013g00150,,,,,,No hit,,,,,
33004,VIT_16s0013g00270,,,,,,Unknown protein,,,,,
33005,VIT_16s0013g00340,,,,,,Unknown protein,,,,,
33006,VIT_16s0013g00360,,,,,,Retrovirus Pol polyprotein,,,,,
33007,VIT_16s0013g00370,,,,,,Heat shock protein binding,,,,,
33008,VIT_16s0013g00430,,,,,,Transposon,,,,,
33009,VIT_16s0013g00560,,,,,,Retrovirus Pol polyprotein,,,,,
33010,VIT_16s0013g00580,,,,,,No hit,,,,,
33011,VIT_16s0013g00720,,,,,,No hit,,,,,
33012,VIT_16s0013g00760,,,,,,Retrovirus Pol polyprotein,,,,,
33013,VIT_16s0013g00770,,,,,,Retrovirus Pol polyprotein,,,,,
33014,VIT_16s0013g00780,,,,,,Histone H3.3,,,,,
33015,VIT_16s0013g00790,,,,,,Retrovirus Pol polyprotein,,,,,
33016,VIT_16s0013g00820,,,,,,Retrovirus Pol polyprotein,,,,,
33017,VIT_16s0013g00840,,,,,,Retrovirus Pol polyprotein,,,,,
33018,VIT_16s0013g00960,,,,,,No hit,,,,,
33019,VIT_16s0013g01020,,,,,,No hit,,,,,
33020,VIT_16s0013g01100,,,,,,No hit,,,,,
33021,VIT_16s0013g01210,,,,,,No hit,,,,,
33022,VIT_16s0013g01250,,,,,,No hit,,,,,
33023,VIT_16s0013g01260,,,,,,Polyprotein,,,,,
33024,VIT_16s0013g01270,,,,,,Retrovirus Pol polyprotein,,,,,
33025,VIT_16s0013g01410,,,,,,Serine esterase,,,E3_1_1_1,,
33026,VIT_16s0013g01440,,,,,,Retrotransposable element Tf2,,,,,
33027,VIT_16s0013g01450,,,,,,Subtilisin protease,,,,,
33028,VIT_16s0013g01480,,,,,,No hit,,,,,
33029,VIT_16s0013g01490,,,,,,Transposase AC,,,,,
33030,VIT_16s0013g01530,,,,,,U3 small nucleolar RNA-associated protein 10,,,K14550,vv23008Ribosome_biogenesis_in_Eukaryotes,
33031,VIT_16s0013g01620,,,,,,Transposon protein Ac/Ds sub-class,,,,,
33032,VIT_16s0013g01630,,,,,,Transposon,,,,,
33033,VIT_16s0013g01800,,,,,,No hit,,,,,
33034,VIT_16s0013g01810,,,,,,No hit,,,,,
33035,VIT_16s0013g01910,,,,,,Polyprotein,,,,,
33036,VIT_16s0013g02010,,,,,,Transposon,,,,,
33037,VIT_16s0013g02160,,,,,,No hit,,,,,
33038,VIT_16s0022g00010,,,,,,Ribonuclease H,,,,,
33039,VIT_16s0022g00020,,,,,,No hit,,,,,
33040,VIT_16s0022g00030,,,,,,CCR4-NOT transcription complex; subunit 1,,,K12604,vv23018RNA_degradation,
33041,VIT_16s0022g00100,,,,,,Retrovirus Pol polyprotein,,,,,
33042,VIT_16s0022g00110,,,,,,Transposon,,,,,
33043,VIT_16s0022g00120,,,,,,Copia protein,,,,,
33044,VIT_16s0022g00150,,,,,,Receptor-like protein 12,,,,,
33045,VIT_16s0022g00170,,,,,,Retrovirus Pol polyprotein,,,,,
33046,VIT_16s0022g00190,,,,,,No hit,,,,,
33047,VIT_16s0022g00200,,,,,,Structural maintenance of chromosome 2,,,K06674,vv44110Cell_cycle,
33048,VIT_16s0022g00210,,,,,,Structural maintenance of chromosomes SMC2,,,K06674,vv44110Cell_cycle,
33049,VIT_16s0022g00220,,,,,,Transposon protein Ac/Ds sub-class,,,,,
33050,VIT_16s0022g00230,,,,,,Structural maintenance of chromosomes SMC2,,,K06674,vv44110Cell_cycle,
33051,VIT_16s0022g00250,,,,,,No hit,,,,,
33052,VIT_16s0022g00260,,,,,,No hit,,,,,
33053,VIT_16s0022g00410,,,,,,Transposon  CACTA,,,,,
33054,VIT_16s0022g00550,,,,,,No hit,,,,,
33055,VIT_16s0022g00730,,,,,,Endo-1;4-beta-glucanase,,,E3_2_1_4,vv40006Cell_wall,
33056,VIT_16s0022g00780,,,,,,No hit,,,,,
33057,VIT_16s0022g00790,,,,,,Ribonuclease H,,,,,
33058,VIT_16s0022g00800,,,,,,No hit,,,,,
33059,VIT_16s0022g00880,,,,,,Unknown,,,,,
33060,VIT_16s0022g00920,,,,,,No hit,,,,,
33061,VIT_16s0022g00930,,,,,,Mutator-like transposase,,,,,
33062,VIT_16s0022g01060,,,,,,Pol polyprotein,,,,,
33063,VIT_16s0022g01090,,,,,,Retrotransposable element Tf2,,,,,
33064,VIT_16s0022g01110,,,,,,Acetohydroxyacid synthase 1,,,E2_2_1_6,vv10290Valine_leucine_and_isoleucine_biosynthesis,vv10650Butanoate_metabolism
33065,VIT_16s0022g01170,,,,,,Retrotransposable element Tf2,,,,,
33066,VIT_16s0022g01180,,,,,,No hit,,,,,
33067,VIT_16s0022g01200,,,,,,No hit,,,,,
33068,VIT_16s0022g01220,,,,,,Mutator-like transposase,,,,,
33069,VIT_16s0022g01230,,,,,,Retrotransposable element Tf2,,,,,
33070,VIT_16s0022g01270,,,,,,No hit,,,,,
33071,VIT_16s0022g01280,,,,,,Metalloendopeptidase,,,,,
33072,VIT_16s0022g01300,,,,,,Transposon,,,,,
33073,VIT_16s0022g01320,,,,,,Transposon,,,,,
33074,VIT_16s0022g01470,,,,,,Retrovirus Pol polyprotein,,,,,
33075,VIT_16s0022g01530,,,,,,Transposon  CACTA,,,,,
33076,VIT_16s0022g01550,,,,,,Transposon,,,,,
33077,VIT_16s0022g01600,,,,,,No hit,,,,,
33078,VIT_16s0022g01750,,,,,,Retroelement,,,,,
33079,VIT_16s0022g01910,,,,,,Pentatricopeptide (PPR) repeat,,,,,
33080,VIT_16s0022g01930,,,,,,LTR retrotransposon,,,,,
33081,VIT_16s0022g01940,,,,,,Retrovirus Pol polyprotein,,,,,
33082,VIT_16s0022g01950,,,,,,LTR retrotransposon,,,,,
33083,VIT_16s0022g02000,,,,,,Unknown,,,,,
33084,VIT_16s0022g02140,,,,,,CYP704A2,,,,,
33085,VIT_16s0022g02160,,,,,,Copia protein,,,,,
33086,VIT_16s0022g02180,,,,,,No hit,,,,,
33087,VIT_16s0022g02260,,,,,,Retrovirus Pol polyprotein,,,,,
33088,VIT_16s0022g02360,,,,,,Polyprotein,,,,,
33089,VIT_16s0022g02390,,,,,,LTR retrotransposon,,,,,
33090,VIT_16s0039g00020,,,,,,Copia protein,,,,,
33091,VIT_16s0039g00050,,,,,,Copia protein,,,,,
33092,VIT_16s0039g00060,,,,,,Retrovirus Pol polyprotein,,,,,
33093,VIT_16s0039g00070,,,,,,Retrovirus Pol polyprotein,,,,,
33094,VIT_16s0039g00080,,,,,,Unknown protein,,,,,
33095,VIT_16s0039g00100,,,,,,Reverse transcriptase,,,,,
33096,VIT_16s0039g00110,,,,,,Transposon,,,,,
33097,VIT_16s0039g00120,,,,,,Retrovirus Pol polyprotein,,,,,
33098,VIT_16s0039g00140,,,,,,Retrovirus Pol polyprotein,,,,,
33099,VIT_16s0039g00150,,,,,,Unknown protein,,,,,
33100,VIT_16s0039g00480,,,,,,No hit,,,,,
33101,VIT_16s0039g00670,,,,,,No hit,,,,,
33102,VIT_16s0039g00680,,,,,,Transposon,,,,,
33103,VIT_16s0039g00780,,,,,,Transposon,,,,,
33104,VIT_16s0039g00950,,,,,,No hit,,,,,
33105,VIT_16s0039g01190,,,,,,No hit,,,,,
33106,VIT_16s0039g01290,,,,,,Transposon,,,,,
33107,VIT_16s0039g01440,,,,,,ATORC3/ORC3 (Origin recognition complex protein 3),,,K02605,vv44110Cell_cycle,
33108,VIT_16s0039g01630,,,,,,Retroelement,,,,,
33109,VIT_16s0039g01720,,,,,,Retrovirus Pol polyprotein,,,,,
33110,VIT_16s0039g01730,,,,,,Retrovirus Pol polyprotein,,,,,
33111,VIT_16s0039g01950,,,,,,Retrovirus Pol polyprotein,,,,,
33112,VIT_16s0039g02070,,,,,,Retrovirus Pol polyprotein,,,,,
33113,VIT_16s0039g02090,,,,,,No hit,,,,,
33114,VIT_16s0039g02380,,,,,,Disease resistance family protein,,,,,
33115,VIT_16s0039g02440,,,,,,Unknown protein,,,,,
33116,VIT_16s0039g02470,,,,,,Chromomethylase CMT2,,,,,
33117,VIT_16s0039g02540,,,,,,Rubredoxin,,,C00340,vv10071Fatty_acid_metabolism,
33118,VIT_16s0039g02580,,,,,,Reverse transcriptase,,,,,
33119,VIT_16s0039g02780,,,,,,Poly(A) binding protein,,,,,
33120,VIT_16s0039g02900,,,,,,Retrovirus Pol polyprotein,,,,,
33121,VIT_16s0039g02920,,,,,,Cupin region,,,,,
33122,VIT_16s0039g02930,,,,,,Unknown,,,,,
33123,VIT_16s0050g00420,,,,,,Retrotransposable element Tf2,,,,,
33124,VIT_16s0050g00550,,,,,,Disease resistance protein,,,,,
33125,VIT_16s0050g00940,,,,,,Transposon,,,,,
33126,VIT_16s0050g01200,,,,,,No hit,,,,,
33127,VIT_16s0050g01270,,,,,,Transposon,,,,,
33128,VIT_16s0050g01280,,,,,,No hit,,,,,
33129,VIT_16s0050g01320,,,,,,Retrovirus Pol polyprotein,,,,,
33130,VIT_16s0050g01360,,,,,,Copia protein,,,,,
33131,VIT_16s0050g01520,,,,,,No hit,,,,,
33132,VIT_16s0050g01630,,,,,,Transposon  CACTA,,,,,
33133,VIT_16s0050g01640,,,,,,No hit,,,,,
33134,VIT_16s0050g01730,,,,,,Retrovirus Pol polyprotein,,,,,
33135,VIT_16s0050g01910,,,,,,Unknown,,,,,
33136,VIT_16s0050g02040,,,,,,Ser/Thr receptor-like kinase1,,,,,
33137,VIT_16s0050g02170,,,,,,Timeless ATIM,,,K03155,,
33138,VIT_16s0050g02210,,,,,,Chitinase III (Vitis vinifera),,,E3_2_1_14,vv10530Aminosugars_metabolism,
33139,VIT_16s0050g02470,,,,,,Retroelement,,,,,
33140,VIT_16s0050g02710,,,,,,RPK1 (receptor-like protein kinase 1),,,,,
33141,VIT_16s0050g02790,,,,,,Transposon,,,,,
33142,VIT_16s0098g00040,,,,,,No hit,,,,,
33143,VIT_16s0098g00050,,,,,,No hit,,,,,
33144,VIT_16s0098g00060,,,,,,Retroelement,,,,,
33145,VIT_16s0098g00140,,,,,,Copia protein,,,,,
33146,VIT_16s0098g00300,,,,,,NADH dehydrogenase I subunit K,,,K05582,vv50134Primary_active_transporter_cat_D1,
33147,VIT_16s0098g00440,,,,,,Transposon,,,,,
33148,VIT_16s0098g00470,,,,,,No hit,,,,,
33149,VIT_16s0098g00490,,,,,,Retrovirus-related Pol polyprotein,,,,,
33150,VIT_16s0098g00500,,,,,,No hit,,,,,
33151,VIT_16s0098g00960,,,,,,LTR retrotransposon,,,,,
33152,VIT_16s0098g01130,,,,,,Unknown protein,,,,,
33153,VIT_16s0098g01220,,,,,,RabGAP/TBC domain-containing protein,,,,,
33154,VIT_16s0098g01330,,,,,,Retrovirus-related Pol polyprotein,,,,,
33155,VIT_16s0098g01370,,,,,,RNA recognition motif (RRM)-containing protein,,,,,
33156,VIT_16s0098g01430,,,,,,3'-5' exonuclease domain-containing protein,,,K01146,,
33157,VIT_16s0098g01440,,,,,,Reverse transcriptase,,,,,
33158,VIT_16s0098g01450,,,,,,Copia protein,,,,,
33159,VIT_16s0098g01460,,,,,,No hit,,,,,
33160,VIT_16s0098g01470,,,,,,Ribonuclease H,,,,,
33161,VIT_16s0098g01480,,,,,,Retrovirus Pol polyprotein,,,,,
33162,VIT_16s0098g01490,,,,,,No hit,,,,,
33163,VIT_16s0098g01550,,,,,,No hit,,,,,
33164,VIT_16s0098g01920,,,,,,Reverse transcriptase,,,,,
33165,VIT_16s0098g01930,,,,,,Retrovirus Pol polyprotein,,,,,
33166,VIT_16s0098g01940,,,,,,Digalactosyldiacylglycerol synthase 2,,,E2_4_1_184,vv10561Glycerolipid_metabolism,
33167,VIT_16s0100g00020,,,,,,Transposon,,,,,
33168,VIT_16s0100g00100,,,,,,Retrovirus Pol polyprotein,,,,,
33169,VIT_16s0100g00270,,,,,,Peptidoglycan-binding LysM domain-containing protein,,,,,
33170,VIT_16s0100g00660,,,,,,No hit,,,,,
33171,VIT_16s0100g00790,,,,,,Copia protein,,,,,
33172,VIT_16s0100g00820,,,,,,No hit,,,,,
33173,VIT_16s0100g00890,,,,,,No hit,,,,,
33174,VIT_16s0100g00980,,,,,,Copia protein,,,,,
33175,VIT_16s0100g01050,,,,,,Retrovirus Pol polyprotein,,,,,
33176,VIT_16s0100g01090,,,,,,Retrovirus Pol polyprotein,,,,,
33177,VIT_16s0100g01180,,,,,,Copia protein,,,,,
33178,VIT_16s0100g01230,,,,,,Unknown protein,,,,,
33179,VIT_16s0100g01240,,,,,,No hit,,,,,
33180,VIT_16s0115g00100,,,,,,DNA-directed RNA polymerase,,,K00960,,
33181,VIT_16s0115g00230,,,,,,Retrovirus Pol polyprotein,,,,,
33182,VIT_16s0115g00240,,,,,,Transposon,,,,,
33183,VIT_16s0115g00250,,,,,,No hit,,,,,
33184,VIT_16s0115g00260,,,,,,Retrovirus Pol polyprotein,,,,,
33185,VIT_16s0115g00270,,,,,,Transposon,,,,,
33186,VIT_16s0115g00280,,,,,,No hit,,,,,
33187,VIT_16s0115g00290,,,,,,No hit,,,,,
33188,VIT_16s0115g00320,,,,,,No hit,,,,,
33189,VIT_16s0115g00350,,,,,,Transposon,,,,,
33190,VIT_16s0115g00370,,,,,,Retroelement,,,,,
33191,VIT_16s0115g00380,,,,,,Transposon,,,,,
33192,VIT_16s0115g00390,,,,,,Transposon protein Ac/Ds sub-class,,,,,
33193,VIT_16s0115g00400,,,,,,Multidrug resistance-associated protein 3,,,MRP3,vv52010ABC_transporters,
33194,VIT_16s0148g00190,,,,,,No hit,,,,,
33195,VIT_17s0000g00020,,,,,,No hit,,,,,
33196,VIT_17s0000g00060,,,,,,No hit,,,,,
33197,VIT_17s0000g00220,,,,,,No hit,,,,,
33198,VIT_17s0000g00260,,,,,,Transposon,,,,,
