Hs-MFSD2A,2000,1000,T094283-MFSD2A,"p1@MFSD2A"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
2082,T086952,9,0.0045,p1@PTGS2,5743,9605,P35354,PTGS2,"prostaglandin-endoperoxide synthase 2","gene with protein product"
2083,T001325,9,0.0045,p8@AFAP1L2,84632,25901,"F6QUH3,Q8N4X5",AFAP1L2,"actin filament associated protein 1 like 2","gene with protein product"
2084,T049156,9,0.0045,p7@MYH11,4629,7569,P35749,MYH11,"myosin heavy chain 11","gene with protein product"
2085,T165450,9,0.0045,p1@PXDC1,221749,21361,,PXDC1,"PX domain containing 1","gene with protein product"
2086,T075030,9,0.0045,p2@PSG9,5678,9526,Q00887,PSG9,"pregnancy specific beta-1-glycoprotein 9","gene with protein product"
2087,T108243,9,0.0045,p41@RBFOX2,23543,9906,,RBFOX2,"RNA binding protein, fox-1 homolog 2","gene with protein product"
2088,T066163,9,0.0045,p4@NPC1,4864,7897,O15118,NPC1,"NPC intracellular cholesterol transporter 1","gene with protein product"
2089,T199367,9,0.0045,p2@PRKX,5613,9441,P51817,PRKX,"protein kinase, X-linked","gene with protein product"
2090,T040277,9,0.0045,p1@PAPLN,89932,19262,"C9JMX3,O95428,B3KXI1",PAPLN,"papilin, proteoglycan like sulfated glycoprotein","gene with protein product"
2091,T087313,9,0.0045,p1@CFHR4,10877,16979,"Q92496,C9J7J7,B1ALQ8,A8K9N7,Q5DVJ7",CFHR4,"complement factor H related 4","gene with protein product"
2092,T075137,9,0.0045,p3@PLAUR,5329,9053,Q03405,PLAUR,"plasminogen activator, urokinase receptor","gene with protein product"
2093,T122172,9,0.0045,p4@SRD5A2,,11285,P31213,SRD5A2,"steroid 5 alpha-reductase 2","gene with protein product"
2094,T050547,9,0.0045,p6@FLYWCH2,114984,25178,Q96CP2,FLYWCH2,"FLYWCH family member 2","gene with protein product"
2095,T038443,9,0.0045,p3@CDKL1,8814,1781,Q00532,CDKL1,"cyclin dependent kinase like 1","gene with protein product"
2096,T096917,8,0.0040,p2@IFI44,10561,16938,,IFI44,"interferon induced protein 44","gene with protein product"
2097,T162827,8,0.0040,p6@CMAHP,,2098,,CMAHP,"cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene",pseudogene
2098,T031853,7,0.0035,p1@GJB2,2706,4284,P29033,GJB2,"gap junction protein beta 2","gene with protein product"
2099,T047148,7,0.0035,p1@STARD5,80765,18065,,STARD5,"StAR related lipid transfer domain containing 5","gene with protein product"
2100,T144401,7,0.0035,p1@SRD5A3,79644,25812,Q9H8P0,SRD5A3,"steroid 5 alpha-reductase 3","gene with protein product"
2101,T094157,7,0.0035,p2@RRAGC,64121,19902,Q9HB90,RRAGC,"Ras related GTP binding C","gene with protein product"
2102,T013879,7,0.0035,p18@CD44,960,1681,,CD44,"CD44 molecule (Indian blood group)","gene with protein product"
2103,T068461,7,0.0035,p2@L3MBTL4,91133,26677,"Q8NA19,F8W9S8",L3MBTL4,"l(3)mbt-like 4 (Drosophila)","gene with protein product"
2104,T178086,7,0.0035,p5@CYP51A1,1595,2649,Q16850,CYP51A1,"cytochrome P450 family 51 subfamily A member 1","gene with protein product"
2105,T158496,7,0.0035,p5@PKIB,5570,9018,Q9C010,PKIB,"cAMP-dependent protein kinase inhibitor beta","gene with protein product"
2106,T037408,7,0.0035,p2@DHRS1,115817,16445,,DHRS1,"dehydrogenase/reductase 1","gene with protein product"
2107,T087197,7,0.0035,p1@CDC73,79577,16783,Q6P1J9,CDC73,"cell division cycle 73","gene with protein product"
2108,T040081,7,0.0035,p3@SLC10A1,6554,10905,"Q14973,B2RA41",SLC10A1,"solute carrier family 10 member 1","gene with protein product"
2109,T179612,7,0.0035,p10@OXR1,55074,15822,Q8N573,OXR1,"oxidation resistance 1","gene with protein product"
2110,T133657,7,0.0035,p4@IQCG,84223,25251,Q9H095,IQCG,"IQ motif containing G","gene with protein product"
2111,T199842,6,0.0030,p1@PHF16,9767,22982,Q92613,JADE3,"jade family PHD finger 3","gene with protein product"
2112,T128684,6,0.0030,p6@MGLL,11343,17038,Q99685,MGLL,"monoglyceride lipase","gene with protein product"
2113,T049136,6,0.0030,p27@MYH11,4629,7569,Q68D89,MYH11,"myosin heavy chain 11","gene with protein product"
2114,T107540,6,0.0030,p1@THOC5,8563,19074,"Q13769,F8WES8",THOC5,"THO complex 5","gene with protein product"
2115,T084772,6,0.0030,p2@NR1I3,9970,7969,E9PCF2,NR1I3,"nuclear receptor subfamily 1 group I member 3","gene with protein product"
2116,T005961,6,0.0030,p1@REEP3,221035,23711,,REEP3,"receptor accessory protein 3","gene with protein product"
2117,T095502,6,0.0030,p2@ACOT11,26027,18156,,ACOT11,"acyl-CoA thioesterase 11","gene with protein product"
2118,T098744,6,0.0030,p2@SEC23B,10483,10702,"Q15437,B4DJW8",SEC23B,"Sec23 homolog B, coat complex II component","gene with protein product"
2119,T016503,6,0.0030,p3@SLC22A11,55867,18120,A6NCG2,SLC22A11,"solute carrier family 22 member 11","gene with protein product"
2120,T140141,6,0.0030,p3@IL15,3600,5977,,IL15,"interleukin 15","gene with protein product"
2121,T143239,6,0.0030,p4@STIM2,57620,19205,"F5GXJ4,E9PGD0,Q9P246,A6H8L7,B3KUB5",STIM2,"stromal interaction molecule 2","gene with protein product"
2122,T185318,6,0.0030,p2@TGS1,96764,17843,E5RJW7,TGS1,"trimethylguanosine synthase 1","gene with protein product"
2123,T075939,6,0.0030,p1@PTGIR,5739,9602,P43119,PTGIR,"prostaglandin I2 (prostacyclin) receptor (IP)","gene with protein product"
2124,T096548,6,0.0030,p6@SRSF11,9295,10782,"Q8IWE6,Q05519",SRSF11,"serine and arginine rich splicing factor 11","gene with protein product"
2125,T049170,6,0.0030,p34@MYH11,4629,7569,,MYH11,"myosin heavy chain 11","gene with protein product"
2126,T027250,6,0.0030,p2@RDH16,8608,29674,O75452,RDH16,"retinol dehydrogenase 16 (all-trans)","gene with protein product"
2127,T161104,6,0.0030,p2@ZDHHC14,79683,20341,Q8IZN3,ZDHHC14,"zinc finger DHHC-type containing 14","gene with protein product"
2128,T149438,6,0.0030,p5@UBE2D2,7322,12475,,UBE2D2,"ubiquitin conjugating enzyme E2 D2","gene with protein product"
2129,T153733,6,0.0030,p2@PRLR,5618,9446,D6RAN9,PRLR,"prolactin receptor","gene with protein product"
2130,T032243,6,0.0030,p7@LNX2,222484,20421,,LNX2,"ligand of numb-protein X 2","gene with protein product"
2131,T001863,6,0.0030,p1@ATE1,11101,782,"O95260,B4E107",ATE1,"arginyltransferase 1","gene with protein product"
2132,T005456,6,0.0030,p3@IL15RA,3601,5978,"Q13261,E7ETI1",IL15RA,"interleukin 15 receptor subunit alpha","gene with protein product"
2133,T172352,6,0.0030,p1@EZH2,2146,3527,"E9PDH6,Q15910,G3XAL2,B7Z8L6,Q75MQ0",EZH2,"enhancer of zeste 2 polycomb repressive complex 2 subunit","gene with protein product"
2134,T161546,6,0.0030,p3@SLC22A1,6580,10963,,SLC22A1,"solute carrier family 22 member 1","gene with protein product"
2135,T134813,6,0.0030,p6@CYP8B1,1582,2653,Q9UNU6,CYP8B1,"cytochrome P450 family 8 subfamily B member 1","gene with protein product"
2136,T197021,6,0.0030,p1@TLR7,51284,15631,"Q9NYK1,B2R9N9",TLR7,"toll like receptor 7","gene with protein product"
2137,T071034,6,0.0030,p1@FAM32A,26017,24563,Q9Y421,FAM32A,"family with sequence similarity 32 member A","gene with protein product"
2138,T144231,6,0.0030,p2@CWH43,80157,26133,D6RDZ8,CWH43,"cell wall biogenesis 43 C-terminal homolog","gene with protein product"
2139,T052942,6,0.0030,p1@CES2,8824,1864,O00748,CES2,"carboxylesterase 2","gene with protein product"
2140,T028916,6,0.0030,p6@THAP2,83591,20854,Q9H0W7,THAP2,"THAP domain containing 2","gene with protein product"
2141,T040204,6,0.0030,p20@SIPA1L1,26037,20284,,SIPA1L1,"signal induced proliferation associated 1 like 1","gene with protein product"
2142,T112170,6,0.0030,p6@PTPN18,26469,9649,"Q99952,B4E1E6",PTPN18,"protein tyrosine phosphatase, non-receptor type 18","gene with protein product"
2143,T152659,6,0.0030,p1@HK3,3101,4925,P52790,HK3,"hexokinase 3","gene with protein product"
2144,T001271,6,0.0030,p2@CASP7,840,1508,"P55210,A6NF73,B4DUB5",CASP7,"caspase 7","gene with protein product"
2145,T111420,6,0.0030,p1@ACTR3,10096,170,"F8WEW2,F8WDR7,F8WE84,F5H3P5,B4DTI0",ACTR3,"ARP3 actin related protein 3 homolog","gene with protein product"
2146,T192000,6,0.0030,p1@CNTLN,54875,23432,"Q9NXG0,C9J1F9,B1AMC8",CNTLN,centlein,"gene with protein product"
2147,T095637,6,0.0030,p3@C8A,731,1352,P07357,C8A,"complement C8 alpha chain","gene with protein product"
2148,T123741,6,0.0030,p1@CCDC88A,55704,25523,,CCDC88A,"coiled-coil domain containing 88A","gene with protein product"
2149,T033207,6,0.0030,p57@TSC22D1,8848,16826,,TSC22D1,"TSC22 domain family member 1","gene with protein product"
2150,T080852,6,0.0030,p3@TRIM33,51592,16290,"Q9UPN9,B3KN30",TRIM33,"tripartite motif containing 33","gene with protein product"
2151,T189240,6,0.0030,p4@GGTA1P,,4253,,GGTA1P,"glycoprotein, alpha-galactosyltransferase 1 pseudogene",pseudogene
2152,T184570,6,0.0030,p2@TACC1,6867,11522,O75410,TACC1,"transforming acidic coiled-coil containing protein 1","gene with protein product"
2153,T016470,6,0.0030,p8@SMPD1,6609,11120,"P17405,Q59EN6,E9PKS3",SMPD1,"sphingomyelin phosphodiesterase 1","gene with protein product"
2154,T146483,6,0.0030,p6@ARHGAP24,83478,25361,,ARHGAP24,"Rho GTPase activating protein 24","gene with protein product"
2155,T115978,6,0.0030,p8@SESTD1,91404,18379,Q86VW0,SESTD1,"SEC14 and spectrin domain containing 1","gene with protein product"
2156,T003751,6,0.0030,p4@PDSS1,23590,17759,Q5T2R2,PDSS1,"decaprenyl diphosphate synthase subunit 1","gene with protein product"
2157,T085853,6,0.0030,p8@RABGAP1L,9910,24663,,RABGAP1L,"RAB GTPase activating protein 1 like","gene with protein product"
2158,T126575,6,0.0030,p5@TMEM131,23505,30366,Q92545,TMEM131,"transmembrane protein 131","gene with protein product"
2159,T007441,6,0.0030,p30@ANXA11,311,535,Q5T0G7,ANXA11,"annexin A11","gene with protein product"
2160,T124927,6,0.0030,p2@NAGK,55577,17174,"C9JMR7,Q9UJ70,E9PPU6",NAGK,"N-acetylglucosamine kinase","gene with protein product"
2161,T156058,6,0.0030,p6@PAPD4,167153,26776,,PAPD4,"poly(A) RNA polymerase D4, non-canonical","gene with protein product"
2162,T039736,6,0.0030,p11@MPP5,64398,18669,,MPP5,"membrane palmitoylated protein 5","gene with protein product"
2163,T047290,6,0.0030,p1@ZSCAN2,54993,20994,"F8W6Y9,F5H1K4,Q7Z7L9,F5H2D8,F5H789",ZSCAN2,"zinc finger and SCAN domain containing 2","gene with protein product"
2164,T100098,6,0.0030,p1@FAM83C,128876,16121,Q9BQN1,FAM83C,"family with sequence similarity 83 member C","gene with protein product"
2165,T018240,6,0.0030,p5@FCHSD2,9873,29114,O94868,FCHSD2,"FCH and double SH3 domains 2","gene with protein product"
2166,T095636,6,0.0030,p2@C8A,731,1352,P07357,C8A,"complement C8 alpha chain","gene with protein product"
2167,T015242,6,0.0030,p10@GLYATL1,92292,30519,E9PK55,GLYATL1,"glycine-N-acyltransferase like 1","gene with protein product"
2168,T031218,6,0.0030,p1@TNFSF13B,10673,11929,,TNFSF13B,"tumor necrosis factor superfamily member 13b","gene with protein product"
2169,T044377,6,0.0030,p9@GLDN,342035,29514,,GLDN,gliomedin,"gene with protein product"
2170,T085548,6,0.0030,p6@NADK,65220,29831,,NADK,"NAD kinase","gene with protein product"
2171,T108013,6,0.0030,p8@SYN3,8224,11496,,SYN3,"synapsin III","gene with protein product"
2172,T185531,6,0.0030,p11@NSMAF,8439,8017,,NSMAF,"neutral sphingomyelinase activation associated factor","gene with protein product"
2173,T075025,6,0.0030,p1@PSG4,5672,9521,"C9JWP2,B3KQL2,Q00888,Q6P520",PSG4,"pregnancy specific beta-1-glycoprotein 4","gene with protein product"
2174,T088827,6,0.0030,p6@C4BPA,722,1325,P04003,C4BPA,"complement component 4 binding protein alpha","gene with protein product"
2175,T009873,6,0.0030,p1@ANKK1,255239,21027,Q8NFD2,ANKK1,"ankyrin repeat and kinase domain containing 1","gene with protein product"
2176,T112437,6,0.0030,p1@ACMSD,130013,19288,Q8TDX5,ACMSD,"aminocarboxymuconate semialdehyde decarboxylase","gene with protein product"
2177,T053994,6,0.0030,p1@TMEM170A,124491,29577,Q8WVE7,TMEM170A,"transmembrane protein 170A","gene with protein product"
2178,T066919,6,0.0030,p7@FHOD3,80206,26178,,FHOD3,"formin homology 2 domain containing 3","gene with protein product"
2179,T195001,6,0.0030,p4@NINJ1,4814,7824,Q92982,NINJ1,"ninjurin 1","gene with protein product"
2180,T084912,6,0.0030,p1@UHMK1,127933,19683,Q8TAS1,UHMK1,"U2AF homology motif kinase 1","gene with protein product"
2181,T197516,6,0.0030,p8@ARHGEF6,9459,685,,ARHGEF6,"Rac/Cdc42 guanine nucleotide exchange factor 6","gene with protein product"
2182,T192820,6,0.0030,p1@CCL27,10850,10626,"Q9Y4X3,Q5VZ77",CCL27,"C-C motif chemokine ligand 27","gene with protein product"
2183,T013675,6,0.0030,p7@CD59,966,1689,"P13987,Q6FHM9",CD59,"CD59 molecule","gene with protein product"
2184,T115114,6,0.0030,p1@HOXD4,3233,5138,P09016,HOXD4,"homeobox D4","gene with protein product"
2185,T040709,6,0.0030,p9@ANGEL1,23357,19961,,ANGEL1,"angel homolog 1","gene with protein product"
2186,T019444,6,0.0030,p1@TMEM9B,56674,1168,"Q9NQ34,E9PR12,Q543A1,Q7Z649",TMEM9B,"TMEM9 domain family member B","gene with protein product"
2187,T002310,6,0.0030,p2@ADAM12,8038,190,"O43184,Q5JRP2",ADAM12,"ADAM metallopeptidase domain 12","gene with protein product"
2188,T010737,6,0.0030,p4@ARHGEF12,23365,14193,"B4E2K6,Q9NZN5",ARHGEF12,"Rho guanine nucleotide exchange factor 12","gene with protein product"
2189,T041582,6,0.0030,p10@ITPK1,3705,6177,G3V5A3,ITPK1,"inositol-tetrakisphosphate 1-kinase","gene with protein product"
2190,T187827,6,0.0030,p4@TGFBR1,7046,11772,,TGFBR1,"transforming growth factor beta receptor 1","gene with protein product"
2191,T192260,6,0.0030,p11@CDKN2A,1029,1787,P42771,CDKN2A,"cyclin dependent kinase inhibitor 2A","gene with protein product"
2192,T044378,6,0.0030,p4@GLDN,342035,29514,,GLDN,gliomedin,"gene with protein product"
2193,T024047,6,0.0030,p1@LINC00477,144360,26557,Q96M19,LINC00477,"long intergenic non-protein coding RNA 477","RNA, long non-coding"
2194,T121947,6,0.0030,p7@CLIP4,79745,26108,"A8K6D0,Q8N3C7",CLIP4,"CAP-Gly domain containing linker protein family member 4","gene with protein product"
2195,T031908,6,0.0030,p3@XPO4,64328,17796,,XPO4,"exportin 4","gene with protein product"
2196,T017922,6,0.0030,p11@ANO1,55107,21625,,ANO1,"anoctamin 1","gene with protein product"
2197,T042270,6,0.0030,p1@NIPA2,81614,17044,"Q8N8Q9,F8W7Y8",NIPA2,"non imprinted in Prader-Willi/Angelman syndrome 2","gene with protein product"
2198,T031658,6,0.0030,p3@TMCO3,55002,20329,,TMCO3,"transmembrane and coiled-coil domains 3","gene with protein product"
2199,T105200,6,0.0030,p1@ETS2,2114,3489,P15036,ETS2,"ETS proto-oncogene 2, transcription factor","gene with protein product"
2200,T156060,6,0.0030,p8@PAPD4,167153,26776,,PAPD4,"poly(A) RNA polymerase D4, non-canonical","gene with protein product"
2201,T085337,6,0.0030,"p1@SFT2D2,p1@TBX19","375035,9095","25140,11596","O95562,Q5TIH2",SFT2D2,"SFT2 domain containing 2","gene with protein product"
2202,T117229,6,0.0030,p8@CFLAR,8837,1876,F8WBH9,CFLAR,"CASP8 and FADD like apoptosis regulator","gene with protein product"
2203,T058484,6,0.0030,p7@KRT14,3861,6416,,KRT14,"keratin 14","gene with protein product"
2204,T020110,6,0.0030,p13@DRAM1,55332,25645,Q8N682,DRAM1,"DNA damage regulated autophagy modulator 1","gene with protein product"
2205,T076952,6,0.0030,"p1@IL4I1,p1@NUP62","23636,259307","8066,19094","P37198,Q1WMJ3,Q96RQ9",NUP62,"nucleoporin 62","gene with protein product"
2206,T198516,6,0.0030,p2@G6PD,2539,4057,"P11413,E7EM57",G6PD,"glucose-6-phosphate dehydrogenase","gene with protein product"
2207,T044040,6,0.0030,p1@SQRDL,58472,20390,Q9Y6N5,SQRDL,"sulfide quinone reductase-like (yeast)","gene with protein product"
2208,T130350,6,0.0030,p3@TSC22D2,9819,29095,O75157,TSC22D2,"TSC22 domain family member 2","gene with protein product"
2209,T032421,6,0.0030,p2@SLC7A1,6541,11057,P30825,SLC7A1,"solute carrier family 7 member 1","gene with protein product"
2210,T096810,6,0.0030,p3@USP33,23032,20059,Q8TEY7,USP33,"ubiquitin specific peptidase 33","gene with protein product"
2211,T037838,6,0.0030,p1@FAM177A1,283635,19829,Q8N128,FAM177A1,"family with sequence similarity 177 member A1","gene with protein product"
2212,T156936,6,0.0030,p10@CAST,831,1515,"F8W7E0,P20810,Q86YM9",CAST,calpastatin,"gene with protein product"
2213,T142433,6,0.0030,p1@ACSL1,2180,3569,E7EPM6,ACSL1,"acyl-CoA synthetase long-chain family member 1","gene with protein product"
2214,T161592,6,0.0030,p2@MAP3K4,4216,6856,,MAP3K4,"mitogen-activated protein kinase kinase kinase 4","gene with protein product"
2215,T141405,6,0.0030,p21@MARCH1,55016,26077,,MARCH1,"membrane associated ring-CH-type finger 1","gene with protein product"
2216,T065855,6,0.0030,p3@SPIRE1,56907,30622,Q08AE8,SPIRE1,"spire type actin nucleation factor 1","gene with protein product"
2217,T105881,6,0.0030,p2@C21orf2,755,1260,Q8N5X6,C21orf2,"chromosome 21 open reading frame 2","gene with protein product"
2218,T153482,6,0.0030,p2@DROSHA,29102,17904,E7EMP9,DROSHA,"drosha ribonuclease III","gene with protein product"
2219,T197312,6,0.0030,p4@PLAC1,10761,9044,Q9HBJ0,PLAC1,"placenta specific 1","gene with protein product"
2220,T194757,6,0.0030,p1@GADD45G,10912,4097,"O95257,Q5VZ87",GADD45G,"growth arrest and DNA damage inducible gamma","gene with protein product"
2221,T162734,6,0.0030,p7@TDP2,51567,17768,O95551,TDP2,"tyrosyl-DNA phosphodiesterase 2","gene with protein product"
2222,T110454,6,0.0030,p12@IL1R1,3554,5993,"B8ZZW4,B8ZZ73",IL1R1,"interleukin 1 receptor type 1","gene with protein product"
2223,T141814,6,0.0030,p1@GALNT7,51809,4129,E9PBY3,GALNT7,"polypeptide N-acetylgalactosaminyltransferase 7","gene with protein product"
2224,T125126,6,0.0030,p5@ACTG2,72,145,P63267,ACTG2,"actin, gamma 2, smooth muscle, enteric","gene with protein product"
2225,T025604,6,0.0030,p7@TUBA1A,7846,20766,,TUBA1A,"tubulin alpha 1a","gene with protein product"
2226,T051559,6,0.0030,p2@CORO7,79585,26161,,CORO7,"coronin 7","gene with protein product"
2227,T007466,6,0.0030,p5@MAT1A,4143,6903,Q00266,MAT1A,"methionine adenosyltransferase 1A","gene with protein product"
2228,T199011,6,0.0030,p2@SAT1,6303,10540,,SAT1,"spermidine/spermine N1-acetyltransferase 1","gene with protein product"
2229,T188599,6,0.0030,p4@SUSD1,64420,25413,Q6UWL2,SUSD1,"sushi domain containing 1","gene with protein product"
2230,T026010,6,0.0030,p1@ACVR1B,91,172,"P36896,F5H5Q2",ACVR1B,"activin A receptor type 1B","gene with protein product"
2231,T044359,6,0.0030,p5@CYP19A1,1588,2594,"Q8IYJ7,F5GXR9",CYP19A1,"cytochrome P450 family 19 subfamily A member 1","gene with protein product"
2232,T105982,6,0.0030,p1@ITGB2,3689,6155,"A8MVG7,E5RIE4,E5RK54,E5RHE6",ITGB2,"integrin subunit beta 2","gene with protein product"
2233,T015070,6,0.0030,p30@SLC43A3,29015,17466,E9PMZ1,SLC43A3,"solute carrier family 43 member 3","gene with protein product"
2234,T037421,4,0.0020,p5@CIDEB,27141,1977,,CIDEB,"cell death-inducing DFFA-like effector b","gene with protein product"
2235,T095367,4,0.0020,p4@SCP2,6342,10606,Q6NXF4,SCP2,"sterol carrier protein 2","gene with protein product"
2236,T187345,4,0.0020,p3@PLEKHF2,79666,20757,Q9H8W4,PLEKHF2,"pleckstrin homology and FYVE domain containing 2","gene with protein product"
2237,T113996,4,0.0020,p6@RBMS1,5937,9907,E7ETU5,RBMS1,"RNA binding motif single stranded interacting protein 1","gene with protein product"
2238,T084875,4,0.0020,p3@SPEN,23013,17575,Q96T58,SPEN,"spen family transcriptional repressor","gene with protein product"
2239,T159338,4,0.0020,p2@ALDH8A1,64577,15471,Q9H2A2,ALDH8A1,"aldehyde dehydrogenase 8 family member A1","gene with protein product"
2240,T047521,4,0.0020,p2@ISG20,3669,6130,,ISG20,"interferon stimulated exonuclease gene 20","gene with protein product"
2241,T109990,4,0.0020,p1@CRELD2,79174,28150,Q6UXH1,CRELD2,"cysteine rich with EGF like domains 2","gene with protein product"
2242,T038489,4,0.0020,p1@NIN,51199,14906,"E9PN67,Q8N4C6,F8W6D3,C9J066,Q5BKU3,Q5XUU0",NIN,ninein,"gene with protein product"
2243,T012999,4,0.0020,p5@INS-IGF2,723961,33527,,INS-IGF2,"INS-IGF2 readthrough",readthrough
2244,T028922,4,0.0020,p3@ZFC3H1,196441,28328,,ZFC3H1,"zinc finger C3H1-type containing","gene with protein product"
2245,T112828,4,0.0020,p2@GTDC1,79712,20887,F2Z2V8,GTDC1,"glycosyltransferase like domain containing 1","gene with protein product"
2246,T150548,4,0.0020,p1@CSF1R,1436,2433,,CSF1R,"colony stimulating factor 1 receptor","gene with protein product"
2247,T140229,4,0.0020,p3@SMARCA5,8467,11101,,SMARCA5,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5","gene with protein product"
2248,T016050,3,0.0015,p1@POLR2G,5436,9194,"E9PIU7,E9PKH3",POLR2G,"RNA polymerase II subunit G","gene with protein product"
2249,T172385,3,0.0015,p1@ZNF212,7988,13004,"Q9UDV6,F2Z3G9,B3KQE6",ZNF212,"zinc finger protein 212","gene with protein product"
2250,T103600,3,0.0015,p2@RGS19,10287,13735,P49795,RGS19,"regulator of G-protein signaling 19","gene with protein product"
2251,T014793,3,0.0015,p2@FNBP4,23360,19752,,FNBP4,"formin binding protein 4","gene with protein product"
2252,T193702,3,0.0015,p13@TJP2,9414,11828,Q9UDY2,TJP2,"tight junction protein 2","gene with protein product"
2253,T022035,3,0.0015,p1@P2RX7,5027,8537,"Q99572,F8W951,E7EMK6,F5H237",P2RX7,"purinergic receptor P2X 7","gene with protein product"
2254,T183893,3,0.0015,p2@CLU,1191,2095,,CLU,clusterin,"gene with protein product"
2255,T089479,3,0.0015,p3@BATF3,55509,28915,Q9NR55,BATF3,"basic leucine zipper ATF-like transcription factor 3","gene with protein product"
2256,T073124,3,0.0015,p8@USF2,7392,12594,Q15853,USF2,"upstream transcription factor 2, c-fos interacting","gene with protein product"
2257,T073661,3,0.0015,p2@MATK,4145,6906,"F1T0G6,P42679,Q9NST8",MATK,"megakaryocyte-associated tyrosine kinase","gene with protein product"
2258,T121894,3,0.0015,p4@PPP1CB,5500,9282,P62140,PPP1CB,"protein phosphatase 1 catalytic subunit beta","gene with protein product"
2259,T124516,3,0.0015,p9@PLEK,5341,9070,P08567,PLEK,pleckstrin,"gene with protein product"
2260,T088232,3,0.0015,p4@SOX13,9580,11192,,SOX13,"SRY-box 13","gene with protein product"
2261,T001581,3,0.0015,p1@EMX2OS,,18511,,EMX2OS,"EMX2 opposite strand/antisense RNA","RNA, long non-coding"
2262,T079491,3,0.0015,p1@PRAM1,84106,30091,Q96QH2,PRAM1,"PML-RARA regulated adaptor molecule 1","gene with protein product"
2263,T021086,3,0.0015,p18@SH2B3,10019,29605,,SH2B3,"SH2B adaptor protein 3","gene with protein product"
2264,T062445,3,0.0015,p6@RNASEK,440400,33911,F8W1G5,RNASEK,"ribonuclease K","gene with protein product"
2265,T136324,3,0.0015,p2@PRKCD,5580,9399,,PRKCD,"protein kinase C delta","gene with protein product"
2266,T093914,3,0.0015,p3@MAP7D1,55700,25514,Q3KQU3,MAP7D1,"MAP7 domain containing 1","gene with protein product"
2267,T070899,3,0.0015,p3@PGLYRP2,114770,30013,Q96PD5,PGLYRP2,"peptidoglycan recognition protein 2","gene with protein product"
2268,T117507,3,0.0015,p2@SDC1,6382,10658,"E9PHH3,F8WCX9",SDC1,"syndecan 1","gene with protein product"
2269,T093015,3,0.0015,p1@PPP1R8,5511,9296,"Q12972,E9PEH7,E7EVD4,Q6ICT4",PPP1R8,"protein phosphatase 1 regulatory subunit 8","gene with protein product"
2270,T083844,3,0.0015,p3@ARHGEF11,9826,14580,O15085,ARHGEF11,"Rho guanine nucleotide exchange factor 11","gene with protein product"
2271,T117818,3,0.0015,p1@FZD5,7855,4043,Q13467,FZD5,"frizzled class receptor 5","gene with protein product"
2272,T005596,3,0.0015,p6@ANK3,288,494,"B1AQT2,Q8NAK2,Q9H0P5",ANK3,"ankyrin 3","gene with protein product"
2273,T168710,3,0.0015,p4@TFR2,7036,11762,Q9UP52,TFR2,"transferrin receptor 2","gene with protein product"
2274,T030591,3,0.0015,p3@AMDHD1,144193,28577,"Q96NU7,B3KVC5",AMDHD1,"amidohydrolase domain containing 1","gene with protein product"
2275,T143149,3,0.0015,p7@SLC34A2,10568,11020,,SLC34A2,"solute carrier family 34 member 2","gene with protein product"
2276,T113107,3,0.0015,p1@ACVR2A,92,173,"P27037,B4DWQ2",ACVR2A,"activin A receptor type 2A","gene with protein product"
2277,T028237,3,0.0015,p2@ACRBP,84519,17195,Q8NEB7,ACRBP,"acrosin binding protein","gene with protein product"
2278,T183988,3,0.0015,p1@EXTL3,2137,3518,,EXTL3,"exostosin like glycosyltransferase 3","gene with protein product"
2279,T140909,3,0.0015,p7@FGG,2266,3694,,FGG,"fibrinogen gamma chain","gene with protein product"
2280,T027891,3,0.0015,p7@SCNN1A,6337,10599,,SCNN1A,"sodium channel epithelial 1 alpha subunit","gene with protein product"
2281,T022637,3,0.0015,p5@LOH12CR1,118426,17950,,BORCS5,"BLOC-1 related complex subunit 5","gene with protein product"
2282,T120944,3,0.0015,p3@ATAD2B,54454,29230,E7EWW1,ATAD2B,"ATPase family, AAA domain containing 2B","gene with protein product"
2283,T144148,3,0.0015,p1@NIPAL1,152519,27194,Q6NVV3,NIPAL1,"NIPA like domain containing 1","gene with protein product"
2284,T119466,3,0.0015,p1@AP1S3,130340,18971,"G5E966,F8W8K9,Q96PC3",AP1S3,"adaptor related protein complex 1 sigma 3 subunit","gene with protein product"
2285,T184436,3,0.0015,p1@PROSC,11212,9457,"O94903,E5RFZ4,E5RFX7,E5RG77",PROSC,"proline synthetase cotranscribed homolog (bacterial)","gene with protein product"
2286,T088576,3,0.0015,p1@C1orf186,440712,25341,,C1orf186,"chromosome 1 open reading frame 186","gene with protein product"
2287,T193431,3,0.0015,p1@INSL4,3641,6087,Q14641,INSL4,"insulin like 4","gene with protein product"
2288,T043934,3,0.0015,p2@DUOX2,50506,13273,Q9NRD8,DUOX2,"dual oxidase 2","gene with protein product"
2289,T043537,3,0.0015,p2@RTF1,23168,28996,,RTF1,"RTF1 homolog, Paf1/RNA polymerase II complex component","gene with protein product"
2290,T050789,3,0.0015,p1@PPP4C,5531,9319,P60510,PPP4C,"protein phosphatase 4 catalytic subunit","gene with protein product"
